Chr	Start	Stop	Class	Ratio
chrX	40361747	41082747	left	0
chrX	45324755	46277565	left	0
chrX	46277565	47996599	right	0
chrX	68944157	69713156	right	0
chrX	153994549	155322688	right	0
chrY	2823959	2912959	left	0
chrY	2912959	3007959	right	0
chrY	3007959	3017959	left	0
chrY	3017959	3138959	right	0
chrY	3809959	3849959	right	0
chrY	3849959	3892959	left	0
chrY	3892959	3947959	right	0
chrY	3947959	4185959	left	0
chrY	4185959	4304959	right	0
chrY	4304959	4454959	left	0
chrY	4454959	4645959	right	0
chrY	4649959	4915959	left	0
chrY	4915959	5095959	right	0
chrY	5095959	5256959	left	0
chrY	5256959	5351959	right	0
chrY	5351959	5464959	left	0
chrY	5619959	5921959	right	0
chrY	5921959	6081959	left	0
chrY	6081959	6774959	right	0
chrY	6774959	6800959	left	0
chrY	6800959	6833959	right	0
chrY	6833959	6886959	left	0
chrY	6886959	6921959	right	0
chrY	6921959	6972959	left	0
chrY	6972959	7045959	right	0
chrY	7045959	7121959	left	0
chrY	7121959	7159959	right	0
chrY	7159959	7195959	left	0
chrY	7195959	7230959	right	0
chrY	7230959	7278959	left	0
chrY	7278959	7332959	right	0
chrY	7332959	7443959	left	0
chrY	7443959	7524959	right	0
chrY	7524959	7752959	left	0
chrY	7752959	7820959	right	0
chrY	7820959	7883959	left	0
chrY	7883959	7953959	right	0
chrY	7953959	8018959	left	0
chrY	8018959	8092959	right	0
chrY	8092959	8208959	left	0
chrY	8208959	8271959	right	0
chrY	8271959	8334959	left	0
chrY	8334959	8475959	right	0
chrY	8475959	8537959	left	0
chrY	8537959	8588959	right	0
chrY	8588959	8643959	left	0
chrY	8643959	8701959	right	0
chrY	8723959	8769959	right	0
chrY	8769959	8846959	left	0
chrY	8888959	8949959	right	0
chrY	8949959	9031959	left	0
chrY	9171391	9235391	left	0
chrY	9235391	9295391	right	0
chrY	9546391	9961391	right	0
chrY	9961391	10010391	left	0
chrY	10010391	10080391	right	0
chrY	10089391	10100391	left	0
chrY	11069324	11120324	right	0
chrY	11351324	11442324	left	0
chrY	11442324	11496324	right	0
chrY	11757294	11876294	left	0
chrY	11876294	11968294	right	0
chrY	11968294	12034294	left	0
chrY	12034294	12102294	right	0
chrY	12102294	12144294	left	0
chrY	12144294	12221295	right	0
chrY	12221295	12315273	left	0
chrY	12315273	12363269	right	0
chrY	12363269	12422201	left	0
chrY	12422201	12521069	right	0
chrY	12521069	12580066	left	0
chrY	12580066	12686071	right	0
chrY	12686071	12783066	left	0
chrY	12783066	12837074	right	0
chrY	12837074	12895085	left	0
chrY	12895085	12935090	right	0
chrY	12935090	12961090	left	0
chrY	12961090	13021087	right	0
chrY	13021087	13164089	left	0
chrY	13164089	13234119	right	0
chrY	13234119	13261120	left	0
chrY	13261120	13299120	right	0
chrY	13299120	13353120	left	0
chrY	13353120	13424120	right	0
chrY	13424120	13497120	left	0
chrY	13497120	13560120	right	0
chrY	13560120	13719120	left	0
chrY	13719120	13778120	right	0
chrY	13778120	13822120	left	0
chrY	13822120	13851120	right	0
chrY	13851120	13896120	left	0
chrY	13896120	14108120	right	0
chrY	14108120	14184120	left	0
chrY	14184120	14335120	right	0
chrY	14335120	14401120	left	0
chrY	14401120	14465120	right	0
chrY	14465120	14499120	left	0
chrY	14499120	14551120	right	0
chrY	14551120	14626120	left	0
chrY	14626120	14688120	right	0
chrY	14688120	14747120	left	0
chrY	14747120	14912120	right	0
chrY	14912120	15021120	left	0
chrY	15021120	15068120	right	0
chrY	15068120	15111120	left	0
chrY	15111120	15142120	right	0
chrY	15169120	15226120	right	0
chrY	15226120	15288120	left	0
chrY	15288120	15415120	right	0
chrY	15415120	15465120	left	0
chrY	15465120	15510120	right	0
chrY	15510120	15725120	left	0
chrY	15725120	15816120	right	0
chrY	15816120	15836120	left	0
chrY	15836120	15890120	right	0
chrY	15890120	15979120	left	0
chrY	15979120	16086120	right	0
chrY	16086120	16271120	left	0
chrY	16271120	16428120	right	0
chrY	16428120	16557120	left	0
chrY	16557120	16697120	right	0
chrY	16697120	16762120	left	0
chrY	16762120	16779120	right	0
chrY	16779120	16799120	left	0
chrY	16799120	16892120	right	0
chrY	16892120	16948120	left	0
chrY	16948120	16988120	right	0
chrY	16988120	17038120	left	0
chrY	17038120	17149120	right	0
chrY	17149120	17195120	left	0
chrY	17195120	17204120	right	0
chrY	17204120	17261120	left	0
chrY	17261120	17345120	right	0
chrY	17345120	17387120	left	0
chrY	17387120	18674114	right	0
chrY	18674114	18968114	left	0
chrY	18968114	19055114	right	0
chrY	19055114	19118114	left	0
chrY	19118114	19147114	right	0
chrY	19147114	19195114	left	0
chrY	19195114	19253114	right	0
chrY	19253114	19327114	left	0
chrY	19327114	19405114	right	0
chrY	19405114	19448114	left	0
chrY	19448114	19496114	right	0
chrY	19496114	19546114	left	0
chrY	19546114	19602114	right	0
chrY	19602114	19646114	left	0
chrY	19646114	19691114	right	0
chrY	19691114	19725114	left	0
chrY	19725114	19776114	right	0
chrY	19776114	19866114	left	0
chrY	19866114	19913114	right	0
chrY	19913114	19933114	left	0
chrY	19933114	19981114	right	0
chrY	19981114	20005114	left	0
chrY	20005114	20040114	right	0
chrY	20040114	20050114	left	0
chrY	20050114	20159114	right	0
chrY	20360114	20389114	right	0
chrY	20389114	20467114	left	0
chrY	20467114	20561114	right	0
chrY	20561114	20636114	left	0
chrY	20695114	20709114	right	0
chrY	20709114	20764114	left	0
chrY	20764114	20853114	right	0
chrY	20853114	20949114	left	0
chrY	20949114	21020114	right	0
chrY	21020114	21064114	left	0
chrY	21064114	21181114	right	0
chrY	21181114	21259114	left	0
chrY	21259114	21285114	right	0
chrY	21285114	21323114	left	0
chrY	21323114	21356114	right	0
chrY	21356114	21364114	left	0
chrY	21364114	21366114	right	0
chrY	21366114	21376114	left	0
chrY	21376114	21427114	right	0
chrY	21427114	21577114	left	0
chrY	21577114	21659114	right	0
chrY	21850853	22277853	right	0
chrY	22277853	26489853	left	0
chrY	26489853	26539853	right	0
chrY	26539853	26613853	left	0
